filepath,label,format,width,height,ok,error
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (1).jpg,freshapple,PNG,450,450,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (1).png,freshapple,PNG,480,322,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (108).jpg,freshapple,PNG,362,332,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (109).jpg,freshapple,JPEG,380,352,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (110).jpg,freshapple,PNG,374,386,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (112).jpg,freshapple,PNG,392,370,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (113).jpg,freshapple,PNG,392,378,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (131).jpg,freshapple,JPEG,422,434,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (134).jpg,freshapple,JPEG,368,428,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (142).jpg,freshapple,PNG,378,388,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (143).jpg,freshapple,JPEG,432,408,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (144).jpg,freshapple,PNG,196,158,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (145).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (146).jpg,freshapple,JPEG,428,424,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (147).jpg,freshapple,PNG,366,384,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (148).jpg,freshapple,PNG,432,464,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (149).jpg,freshapple,JPEG,366,400,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (150).jpg,freshapple,PNG,302,308,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (151).jpg,freshapple,PNG,224,258,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (152).jpg,freshapple,JPEG,432,472,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (153).jpg,freshapple,JPEG,374,410,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (154).jpg,freshapple,JPEG,152,154,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (155).jpg,freshapple,PNG,528,464,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (156).jpg,freshapple,JPEG,210,174,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (157).jpg,freshapple,JPEG,210,158,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (158).jpg,freshapple,PNG,390,392,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (159).jpg,freshapple,PNG,262,298,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (160).jpg,freshapple,PNG,416,402,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (161).jpg,freshapple,JPEG,414,420,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (162).jpg,freshapple,PNG,416,448,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (163).jpg,freshapple,PNG,436,472,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (164).jpg,freshapple,PNG,374,398,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (165).jpg,freshapple,PNG,450,460,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (166).jpg,freshapple,JPEG,382,402,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (167).jpg,freshapple,PNG,414,418,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (168).jpg,freshapple,JPEG,466,464,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (169).jpg,freshapple,PNG,364,324,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (170).jpg,freshapple,PNG,472,414,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (171).jpg,freshapple,PNG,176,160,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (172).jpg,freshapple,PNG,188,178,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (173).jpg,freshapple,PNG,180,172,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (174).jpg,freshapple,JPEG,378,370,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (175).jpg,freshapple,PNG,472,462,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (176).jpg,freshapple,JPEG,250,224,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (177).jpg,freshapple,JPEG,432,472,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (178).jpg,freshapple,JPEG,230,204,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (179).jpg,freshapple,PNG,206,234,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (180).jpg,freshapple,JPEG,775,497,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (181).jpg,freshapple,JPEG,275,183,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (182).jpg,freshapple,JPEG,275,183,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (183).jpg,freshapple,JPEG,266,190,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (184).jpg,freshapple,JPEG,1600,901,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (185).jpg,freshapple,JPEG,1000,750,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (186).jpg,freshapple,JPEG,800,531,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (187).jpg,freshapple,JPEG,800,531,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (188).jpg,freshapple,JPEG,388,378,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (189).jpg,freshapple,JPEG,470,452,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (190).jpg,freshapple,PNG,378,406,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (191).jpg,freshapple,PNG,432,430,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (192).jpg,freshapple,JPEG,342,322,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (193).jpg,freshapple,PNG,376,324,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (194).jpg,freshapple,JPEG,374,438,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (195).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (196).jpg,freshapple,PNG,480,464,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (197).jpg,freshapple,PNG,384,438,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (198).jpg,freshapple,JPEG,378,350,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (199).jpg,freshapple,PNG,380,352,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (200).jpg,freshapple,JPEG,402,404,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (201).jpg,freshapple,JPEG,478,466,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (202).jpg,freshapple,JPEG,258,286,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (203).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (204).jpg,freshapple,JPEG,462,432,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (205).jpg,freshapple,PNG,436,444,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (206).jpg,freshapple,PNG,346,334,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (207).jpg,freshapple,JPEG,362,360,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (208).jpg,freshapple,PNG,210,178,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (209).jpg,freshapple,JPEG,208,164,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (210).jpg,freshapple,PNG,206,234,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (211).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (212).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (213).jpg,freshapple,JPEG,366,400,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (214).jpg,freshapple,JPEG,302,308,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (215).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (216).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (217).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (218).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (219).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (220).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (221).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (222).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (223).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (224).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (225).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (226).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (227).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (228).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (229).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (230).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (231).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (232).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (233).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (234).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (235).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (236).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (237).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (238).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (239).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (240).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (241).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (242).jpg,freshapple,JPEG,100,100,True,
C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (243).jpg,freshapple,JPEG,100,100,True,
