,freshapple,freshbanana,freshbellpepper,freshcarrot,freshcucumber,freshmango,freshorange,freshpotato,freshstrawberry,freshtomato,rottenapple,rottenbanana,rottenbellpepper,rottencarrot,rottencucumber,rottenmango,rottenorange,rottenpotato,rottenstrawberry,rottentomato
freshapple,91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
freshbanana,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freshbellpepper,0,0,89,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
freshcarrot,0,0,0,82,0,0,0,0,0,0,0,0,1,7,0,0,0,3,0,0
freshcucumber,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
freshmango,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,2,0,0
freshorange,0,0,0,0,0,0,90,0,0,0,0,0,1,0,0,0,0,0,0,0
freshpotato,0,0,0,0,0,0,0,82,0,0,2,0,0,1,0,0,0,7,0,0
freshstrawberry,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,1,1,0,0
freshtomato,1,0,4,0,0,0,0,0,0,82,0,0,1,0,0,0,0,2,0,1
rottenapple,2,0,0,0,0,0,0,0,0,0,76,0,3,0,0,0,0,7,0,0
rottenbanana,0,3,0,0,0,0,0,0,0,0,0,78,0,1,0,0,0,4,0,0
rottenbellpepper,0,0,15,0,0,0,0,0,0,0,0,0,66,4,0,0,0,4,0,0
rottencarrot,0,0,0,2,0,0,0,0,0,0,0,0,4,79,0,0,0,2,0,0
rottencucumber,0,0,0,0,19,0,0,0,0,0,0,0,1,3,64,0,0,2,0,0
rottenmango,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,75,0,12,0,0
rottenorange,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87,1,0,0
rottenpotato,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,85,0,0
rottenstrawberry,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,85,0
rottentomato,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,82
