label,train,val,test,total
freshapple,428,92,92,612
freshbanana,436,94,94,624
freshbellpepper,427,92,92,611
freshcarrot,432,93,93,618
freshcucumber,425,92,91,608
freshmango,423,91,91,605
freshorange,425,92,92,609
freshpotato,430,93,92,615
freshstrawberry,421,91,91,603
freshtomato,422,91,91,604
rottenapple,411,89,88,588
rottenbanana,402,87,87,576
rottenbellpepper,413,89,89,591
rottencarrot,403,87,87,577
rottencucumber,415,89,89,593
rottenmango,415,89,89,593
rottenorange,413,89,89,591
rottenpotato,409,88,88,585
rottenstrawberry,416,90,90,596
rottentomato,416,90,90,596
ALL,8382,1808,1805,11995
